POWER,3.3V
GND,GND
NC_A0,PA0
NC_A1,PA1
NC_A2,PA2
BATTERY_MONITOR,PA3
BIN2,PA4
PWM_B,PA5
ENC_A1,PA6
ENC_A2,PA7
USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
SWDIO,PA13
SWCLK,PA14
FLASH_CS,PA15
BOOT1,PB2
FLASH_SCK,PB3
FLASH_MISO,PB4
FLASH_MOSI,PB5
ENC_B1,PB6
ENC_B2,PB7
SCL,PB8
SDA,PB9
TX,PB10
RX,PB11
SD_DETECT,PB12
AUX,PB13
PWR_EN,PB14
PWM_A,PB15
D8,PC0
NEOPIXEL,PC0
AIN2,PC1
NSTBY,PC2
BIN1,PC3
V12_DIV,PC4
AIN1,PC5
TX_AUX,PC6
RX_AUX,PC7
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CK,PC12
SD_CMD,PD2
